name,price,rating,category,brand,specs,description
Nabisco Food Model 102,17255.71,4.7,Food,Nabisco,"500ml, Diet",Food product by Nabisco with features like 500ml.
Ford Vehicles Model 918,17274.95,4.7,Vehicles,Ford,"2.0L Hybrid, 5 seats",Vehicles product by Ford with features like 2.0L Hybrid.
Samsung Mobile Model 642,13936.47,3.7,Mobile,Samsung,"512GB, A17 Pro",Mobile product by Samsung with features like 512GB.
Ford Vehicles Model 532,33756.56,4.5,Vehicles,Ford,"Electric, 358mi range, Autopilot",Vehicles product by Ford with features like Electric.
Tesla Vehicles Model 554,2863.06,4.6,Vehicles,Tesla,"2.0L Hybrid, 5 seats",Vehicles product by Tesla with features like 2.0L Hybrid.
Apple Mobile Model 424,14517.05,4.0,Mobile,Apple,"512GB, A17 Pro",Mobile product by Apple with features like 512GB.
Samsung Electronics Model 677,9735.66,4.8,Electronics,Samsung,"1080p Full HD, Android TV",Electronics product by Samsung with features like 1080p Full HD.
Nabisco Food Model 588,17707.88,3.9,Food,Nabisco,"500ml, Diet",Food product by Nabisco with features like 500ml.
Nike Clothing Model 841,38584.38,3.7,Clothing,Nike,"Size: M, Cotton, White",Clothing product by Nike with features like Size: M.
Lego Toys Model 578,17361.18,4.3,Toys,Lego,"500 pieces, Multi-color",Toys product by Lego with features like 500 pieces.
Hasbro Toys Model 543,8504.93,4.7,Toys,Hasbro,"Board Game, 2-6 Players",Toys product by Hasbro with features like Board Game.
Samsung Mobile Model 203,49121.88,4.3,Mobile,Samsung,"64GB, MediaTek",Mobile product by Samsung with features like 64GB.
Lenovo Tablet Model 206,48349.17,4.7,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
Bose Electronics Model 425,36129.44,3.6,Electronics,Bose,"1080p Full HD, Android TV",Electronics product by Bose with features like 1080p Full HD.
Ford Vehicles Model 798,20642.82,4.6,Vehicles,Ford,"1.5L Turbo, CVT",Vehicles product by Ford with features like 1.5L Turbo.
Xiaomi Mobile Model 418,45522.61,4.6,Mobile,Xiaomi,"512GB, A17 Pro",Mobile product by Xiaomi with features like 512GB.
Nestle Food Model 699,29094.25,4.9,Food,Nestle,"500ml, Diet",Food product by Nestle with features like 500ml.
Lenovo Tablet Model 268,32864.51,4.7,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
Nike Clothing Model 172,49946.47,4.5,Clothing,Nike,"Size: S, Wool, Blue",Clothing product by Nike with features like Size: S.
Adidas Clothing Model 622,16209.57,3.6,Clothing,Adidas,"Size: L, Polyester, Black",Clothing product by Adidas with features like Size: L.
Sony Electronics Model 282,16005.82,4.1,Electronics,Sony,"4K UHD, HDR10, WebOS",Electronics product by Sony with features like 4K UHD.
Under Armour Clothing Model 840,48423.22,4.2,Clothing,Under Armour,"Size: L, Polyester, Black",Clothing product by Under Armour with features like Size: L.
Hasbro Toys Model 970,28285.71,3.8,Toys,Hasbro,"500 pieces, Multi-color",Toys product by Hasbro with features like 500 pieces.
Pepsi Food Model 668,3861.61,4.5,Food,Pepsi,"1.5L, Carbonated",Food product by Pepsi with features like 1.5L.
Bose Electronics Model 600,32624.7,3.5,Electronics,Bose,"Bluetooth Speaker, Waterproof",Electronics product by Bose with features like Bluetooth Speaker.
Apple Tablet Model 685,46980.88,4.3,Tablet,Apple,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Apple with features like 8GB RAM.
Puma Clothing Model 829,29650.92,4.9,Clothing,Puma,"Size: M, Cotton, White",Clothing product by Puma with features like Size: M.
Puma Clothing Model 200,36881.72,4.2,Clothing,Puma,"Size: S, Wool, Blue",Clothing product by Puma with features like Size: S.
OnePlus Mobile Model 900,431.95,4.6,Mobile,OnePlus,"512GB, A17 Pro",Mobile product by OnePlus with features like 512GB.
Nike Clothing Model 300,35937.56,4.1,Clothing,Nike,"Size: XL, Cotton, Red",Clothing product by Nike with features like Size: XL.
Coca-Cola Food Model 782,43247.4,3.7,Food,Coca-Cola,"500ml, Diet",Food product by Coca-Cola with features like 500ml.
Hot Wheels Toys Model 965,34098.08,4.8,Toys,Hot Wheels,"Die-cast, Model 2023",Toys product by Hot Wheels with features like Die-cast.
Puma Clothing Model 275,43571.89,3.9,Clothing,Puma,"Size: XL, Cotton, Red",Clothing product by Puma with features like Size: XL.
Samsung Tablet Model 308,36378.67,4.1,Tablet,Samsung,"12GB RAM, 128GB, Snapdragon",Tablet product by Samsung with features like 12GB RAM.
Mattel Toys Model 132,11530.93,4.7,Toys,Mattel,"Plush Toy, 12 inch",Toys product by Mattel with features like Plush Toy.
Hot Wheels Toys Model 639,16122.2,4.3,Toys,Hot Wheels,"Plush Toy, 12 inch",Toys product by Hot Wheels with features like Plush Toy.
Adidas Clothing Model 174,3421.82,4.7,Clothing,Adidas,"Size: L, Polyester, Black",Clothing product by Adidas with features like Size: L.
Hot Wheels Toys Model 571,15410.47,4.1,Toys,Hot Wheels,"Board Game, 2-6 Players",Toys product by Hot Wheels with features like Board Game.
Pepsi Food Model 752,25236.16,4.5,Food,Pepsi,"Family Pack, Chocolate",Food product by Pepsi with features like Family Pack.
Samsung Electronics Model 188,32917.95,3.9,Electronics,Samsung,"4K UHD, HDR10, WebOS",Electronics product by Samsung with features like 4K UHD.
Lenovo Tablet Model 487,29040.62,3.9,Tablet,Lenovo,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Lenovo with features like 8GB RAM.
Puma Clothing Model 136,39405.43,5.0,Clothing,Puma,"Size: L, Polyester, Black",Clothing product by Puma with features like Size: L.
Sony Electronics Model 509,44706.31,4.9,Electronics,Sony,"4K UHD, HDR10, WebOS",Electronics product by Sony with features like 4K UHD.
Under Armour Clothing Model 585,23857.78,4.5,Clothing,Under Armour,"Size: L, Polyester, Black",Clothing product by Under Armour with features like Size: L.
Toyota Vehicles Model 145,40639.73,3.6,Vehicles,Toyota,"V6 Engine, 4x4 Drive",Vehicles product by Toyota with features like V6 Engine.
Bose Electronics Model 273,44579.64,4.5,Electronics,Bose,"1080p Full HD, Android TV",Electronics product by Bose with features like 1080p Full HD.
Nike Clothing Model 237,31075.9,3.9,Clothing,Nike,"Size: XL, Cotton, Red",Clothing product by Nike with features like Size: XL.
Lego Toys Model 241,17246.7,4.1,Toys,Lego,"Plush Toy, 12 inch",Toys product by Lego with features like Plush Toy.
Tesla Vehicles Model 355,25028.02,3.7,Vehicles,Tesla,"1.5L Turbo, CVT",Vehicles product by Tesla with features like 1.5L Turbo.
Hot Wheels Toys Model 663,23856.63,4.2,Toys,Hot Wheels,"Board Game, 2-6 Players",Toys product by Hot Wheels with features like Board Game.
Coca-Cola Food Model 552,46202.6,3.8,Food,Coca-Cola,"100g, Milk Chocolate",Food product by Coca-Cola with features like 100g.
Lego Toys Model 445,41693.98,4.6,Toys,Lego,"Die-cast, Model 2023",Toys product by Lego with features like Die-cast.
Puma Clothing Model 562,23376.83,5.0,Clothing,Puma,"Size: XL, Cotton, Red",Clothing product by Puma with features like Size: XL.
Samsung Mobile Model 130,2111.29,3.8,Mobile,Samsung,"128GB, A15 Bionic",Mobile product by Samsung with features like 128GB.
Xiaomi Mobile Model 555,39291.02,4.3,Mobile,Xiaomi,"128GB, A15 Bionic",Mobile product by Xiaomi with features like 128GB.
Samsung Tablet Model 498,12589.29,4.4,Tablet,Samsung,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Samsung with features like 8GB RAM.
Honda Vehicles Model 878,17832.53,4.4,Vehicles,Honda,"V6 Engine, 4x4 Drive",Vehicles product by Honda with features like V6 Engine.
Apple Mobile Model 779,10609.9,4.8,Mobile,Apple,"64GB, MediaTek",Mobile product by Apple with features like 64GB.
Coca-Cola Food Model 875,13380.69,4.4,Food,Coca-Cola,"100g, Milk Chocolate",Food product by Coca-Cola with features like 100g.
Hasbro Toys Model 742,21661.38,4.4,Toys,Hasbro,"500 pieces, Multi-color",Toys product by Hasbro with features like 500 pieces.
Coca-Cola Food Model 911,9064.6,3.9,Food,Coca-Cola,"500ml, Diet",Food product by Coca-Cola with features like 500ml.
Apple Tablet Model 554,43932.15,3.6,Tablet,Apple,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Apple with features like 8GB RAM.
Coca-Cola Food Model 348,44037.59,4.4,Food,Coca-Cola,"500ml, Diet",Food product by Coca-Cola with features like 500ml.
Samsung Tablet Model 968,40421.07,4.1,Tablet,Samsung,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Samsung with features like 8GB RAM.
Under Armour Clothing Model 353,40547.23,4.0,Clothing,Under Armour,"Size: L, Polyester, Black",Clothing product by Under Armour with features like Size: L.
Adidas Clothing Model 806,47827.61,3.6,Clothing,Adidas,"Size: L, Polyester, Black",Clothing product by Adidas with features like Size: L.
Nike Clothing Model 129,12538.53,4.7,Clothing,Nike,"Size: XL, Cotton, Red",Clothing product by Nike with features like Size: XL.
Xiaomi Mobile Model 648,28770.44,4.4,Mobile,Xiaomi,"128GB, A15 Bionic",Mobile product by Xiaomi with features like 128GB.
Toyota Vehicles Model 758,35832.86,4.8,Vehicles,Toyota,"Electric, 358mi range, Autopilot",Vehicles product by Toyota with features like Electric.
Tesla Vehicles Model 763,29916.92,4.3,Vehicles,Tesla,"V6 Engine, 4x4 Drive",Vehicles product by Tesla with features like V6 Engine.
Tesla Vehicles Model 817,34516.16,4.4,Vehicles,Tesla,"2.0L Hybrid, 5 seats",Vehicles product by Tesla with features like 2.0L Hybrid.
Bose Electronics Model 789,32185.46,3.7,Electronics,Bose,"Noise Cancelling, Wireless",Electronics product by Bose with features like Noise Cancelling.
Bose Electronics Model 214,44080.62,4.6,Electronics,Bose,"1080p Full HD, Android TV",Electronics product by Bose with features like 1080p Full HD.
Apple Tablet Model 473,25370.43,4.5,Tablet,Apple,"8GB RAM, 256GB SSD, Intel i5",Tablet product by Apple with features like 8GB RAM.
